CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
67882,Customer_67882,57,Female,Houston,18,48.84,392,0
71069,Customer_71069,65,Male,Miami,6,71.04,167,1
40626,Customer_40626,63,Female,Los Angeles,23,89.45,223,0
83685,Customer_83685,70,Male,Los Angeles,17,66.03,463,0
47711,Customer_47711,23,Male,Los Angeles,2,55.92,406,1
96625,Customer_96625,56,Male,Miami,9,74.23,303,1
36537,Customer_36537,58,Female,Miami,14,56.25,448,0
24010,Customer_24010,64,Female,Miami,23,96.61,88,1
62935,Customer_62935,50,Female,Los Angeles,14,98.28,337,0
22257,Customer_22257,54,Female,New York,3,85.38,347,1
49456,Customer_49456,20,Female,Houston,6,81.73,61,1
74429,Customer_74429,24,Male,Houston,18,37.31,222,1
42704,Customer_42704,37,Female,Miami,3,62.86,113,1
73567,Customer_73567,48,Male,Los Angeles,8,53.43,135,0
75185,Customer_75185,22,Female,Miami,18,74.71,212,0
52668,Customer_52668,32,Male,Chicago,14,81.67,496,0
47302,Customer_47302,54,Female,Chicago,3,52.89,197,0
40952,Customer_40952,25,Female,Miami,4,76.96,186,0
26013,Customer_26013,40,Male,Houston,23,51.77,218,0
13408,Customer_13408,61,Male,Chicago,6,77.85,468,0
43783,Customer_43783,37,Male,Miami,7,68.44,71,0
910,Customer_910,53,Female,Miami,9,56.82,77,0
40702,Customer_40702,51,Female,Chicago,7,44.92,137,0
40526,Customer_40526,53,Male,Los Angeles,11,69.29,272,1
42391,Customer_42391,64,Female,Houston,13,66.22,370,1
79439,Customer_79439,60,Female,Houston,22,79.7,281,1
10464,Customer_10464,23,Male,Miami,11,88.29,84,0
25392,Customer_25392,56,Female,Los Angeles,18,37.03,445,0
91340,Customer_91340,29,Female,Houston,19,97.85,463,1
84029,Customer_84029,45,Male,Miami,1,78.43,243,1
52286,Customer_52286,22,Male,Houston,10,30.73,175,0
98801,Customer_98801,21,Male,Los Angeles,23,46.63,83,0
